Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L1_id,L0_id,True_L0_MAE,Meas_L0_MAE
Height,0,20%,8C x 9K,L1_2,L0_10,1.7578531223231646e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_11,1.3914795241968629e-15,0.11417411476298295
Height,0,20%,8C x 9K,L1_2,L0_12,7.031412489292658e-16,-1.0
Height,0,20%,8C x 9K,L1_2,L0_13,1.7763568394002505e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_14,1.0658141036401502e-15,0.08619423262040397
Height,0,20%,8C x 9K,L1_2,L0_15,1.3766765505351941e-15,0.11903157138793391
Height,0,20%,8C x 9K,L1_2,L0_16,1.7170292965218436e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_17,1.3988810110276972e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_18,1.0417592714399385e-15,0.06114002334727407
Height,0,20%,8C x 9K,L1_2,L0_19,8.928043489693967e-16,-1.0
Height,0,20%,8C x 9K,L1_2,L0_2,1.0047518372857667e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_20,1.4858484812900011e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_21,9.3443771239284e-16,-1.0
Height,0,20%,8C x 9K,L1_2,L0_22,1.5321077739827161e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_23,1.3470706032118565e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_24,1.6431300764452318e-15,0.0995915942590886
Height,0,20%,8C x 9K,L1_2,L0_3,1.5085155347094315e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_4,1.3470706032118565e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_5,1.7430501486614957e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_6,1.1021276484039315e-15,0.10607574491599964
Height,0,20%,8C x 9K,L1_2,L0_7,1.1694349192718315e-15,0.09423759841118416
Height,0,20%,8C x 9K,L1_2,L0_8,1.3664995061427969e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_9,2.011354046279242e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_0,9.547918011776346e-16,-1.0
Height,0,20%,2C x 46K,L1_0,L0_1,1.7199205023151384e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_10,1.6251467764109388e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_11,1.2434497875801752e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_12,1.3674246919966511e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_13,1.5395092608135505e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_14,1.7541523789077474e-15,0.12363769951620246
Height,0,20%,2C x 46K,L1_0,L0_15,1.2101430968414207e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_16,1.3396691163810222e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_17,1.2804572217343472e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_18,1.5348833315442788e-15,0.14864938205916906
Height,0,20%,2C x 46K,L1_0,L0_19,1.1342778568253683e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_2,1.0954200509634878e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_20,5.440092820663267e-16,-1.0
Height,0,20%,2C x 46K,L1_0,L0_21,2.0562255601911752e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_22,9.62193288008469e-16,-1.0
Height,0,20%,2C x 46K,L1_0,L0_23,1.783758326231085e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_24,1.1934897514720433e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_3,1.4876988529977098e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_4,1.2804572217343472e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_5,1.6449804481529402e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_6,1.3470706032118565e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_7,1.1305771134099511e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_8,1.6431300764452318e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_9,1.1472304587793285e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_0,1.063327666657917e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_1,9.510910577622174e-16,-1.0
Height,0,20%,2C x 46K,L1_1,L0_10,0.17541168722689093,-1.0
Height,0,20%,2C x 46K,L1_1,L0_11,1.2018164241567319e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_12,1.081773559619137e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_13,1.6727360237685692e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_14,1.1990408665951691e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_15,1.9539925233402757e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_16,1.1546319456101628e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_17,1.0510111299784815e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_18,8.363680118842846e-16,-1.0
Height,0,20%,2C x 46K,L1_1,L0_19,1.6116737574141857e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_2,1.3193150275962276e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_20,1.4284869583510348e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_21,1.5043521983670872e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_22,1.3748261788274855e-15,0.09228088273477812
Height,0,20%,2C x 46K,L1_1,L0_23,1.1028215377943222e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_24,1.0288066694859785e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_3,1.4451403037204122e-15,0.14911265140092322
Height,0,20%,2C x 46K,L1_1,L0_4,1.3655743202889426e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_5,1.3776017363890484e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_6,1.7319479184152442e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_7,2.0983215165415457e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_8,1.9317880628477722e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_9,1.613061536194967e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_0,1.544077365966956e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_1,1.2315380197118012e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_10,1.7578531223231646e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_11,1.3914795241968629e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_12,7.031412489292658e-16,-1.0
Height,0,20%,2C x 46K,L1_2,L0_13,1.7763568394002505e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_14,1.0658141036401502e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_15,1.3766765505351941e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_16,1.7170292965218436e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_17,1.3988810110276972e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_18,1.0417592714399385e-15,0.08891344209130762
Height,0,20%,2C x 46K,L1_2,L0_19,8.928043489693967e-16,-1.0
Height,0,20%,2C x 46K,L1_2,L0_2,1.0047518372857667e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_20,1.4858484812900011e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_21,9.3443771239284e-16,-1.0
Height,0,20%,2C x 46K,L1_2,L0_22,1.5321077739827161e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_23,1.3470706032118565e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_24,1.6431300764452318e-15,0.07780175102242606
Height,0,20%,2C x 46K,L1_2,L0_3,1.5085155347094315e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_4,1.3470706032118565e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_5,1.7430501486614957e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_6,1.1021276484039315e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_7,1.1694349192718315e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_8,1.3664995061427969e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_9,2.011354046279242e-15,-1.0
Height,0,30%,8C x 13K,L1_0,L0_0,9.547918011776346e-16,-1.0
Height,0,30%,8C x 13K,L1_0,L0_1,1.7199205023151384e-15,-1.0
Height,0,30%,8C x 13K,L1_0,L0_10,1.6251467764109388e-15,0.09276680772068145
Height,0,30%,8C x 13K,L1_0,L0_11,1.2434497875801752e-15,0.12231197623676779
Height,0,30%,8C x 13K,L1_0,L0_12,1.3674246919966511e-15,-1.0
Height,0,30%,8C x 13K,L1_0,L0_13,1.5395092608135505e-15,-1.0
Height,0,30%,8C x 13K,L1_0,L0_14,1.7541523789077474e-15,0.07970586266473054
Height,0,30%,8C x 13K,L1_0,L0_15,1.2101430968414207e-15,-1.0
Height,0,30%,8C x 13K,L1_0,L0_16,1.3396691163810222e-15,-1.0
Height,0,30%,8C x 13K,L1_0,L0_17,1.2804572217343472e-15,-1.0
Height,0,30%,8C x 13K,L1_0,L0_18,1.5348833315442788e-15,-1.0
Height,0,30%,8C x 13K,L1_0,L0_19,1.1342778568253683e-15,0.0698242521560418
Height,0,30%,8C x 13K,L1_0,L0_2,1.0954200509634878e-15,-1.0
Height,0,30%,8C x 13K,L1_0,L0_20,5.440092820663267e-16,-1.0
Height,0,30%,8C x 13K,L1_0,L0_21,2.0562255601911752e-15,-1.0
Height,0,30%,8C x 13K,L1_0,L0_22,9.62193288008469e-16,0.09797968874136763
Height,0,30%,8C x 13K,L1_0,L0_23,1.783758326231085e-15,-1.0
Height,0,30%,8C x 13K,L1_0,L0_24,1.1934897514720433e-15,-1.0
Height,0,30%,8C x 13K,L1_0,L0_3,1.4876988529977098e-15,0.0944248519404159
Height,0,30%,8C x 13K,L1_0,L0_4,1.2804572217343472e-15,-1.0
Height,0,30%,8C x 13K,L1_0,L0_5,1.6449804481529402e-15,-1.0
Height,0,30%,8C x 13K,L1_0,L0_6,1.3470706032118565e-15,0.1396729006604553
Height,0,30%,8C x 13K,L1_0,L0_7,1.1305771134099511e-15,0.07116013512796865
