Indicator,Sim_ID,L1_Budget_Pct,L1_Label,Target_Percentile,V2_MAE_Acc
Weight,3,0.4,25C_x_6K,90%,91.36363636363636
Weight,3,0.5,25C_x_8K,10%,45.0
Weight,3,0.5,25C_x_8K,100%,100.0
Weight,3,0.5,25C_x_8K,20%,56.0
Weight,3,0.5,25C_x_8K,30%,62.5
Weight,3,0.5,25C_x_8K,40%,67.0
Weight,3,0.5,25C_x_8K,50%,65.83333333333334
Weight,3,0.5,25C_x_8K,60%,70.66666666666666
Weight,3,0.5,25C_x_8K,70%,80.0
Weight,3,0.5,25C_x_8K,80%,84.5
Weight,3,0.5,25C_x_8K,90%,90.9090909090909
Weight,3,0.6,25C_x_9K,10%,50.0
Weight,3,0.6,25C_x_9K,100%,100.0
Weight,3,0.6,25C_x_9K,20%,62.0
Weight,3,0.6,25C_x_9K,30%,67.5
Weight,3,0.6,25C_x_9K,40%,68.0
Weight,3,0.6,25C_x_9K,50%,67.5
Weight,3,0.6,25C_x_9K,60%,72.66666666666666
Weight,3,0.6,25C_x_9K,70%,78.88888888888889
Weight,3,0.6,25C_x_9K,80%,83.5
Weight,3,0.6,25C_x_9K,90%,91.81818181818181
Weight,3,0.7,25C_x_10K,10%,60.0
Weight,3,0.7,25C_x_10K,100%,100.0
Weight,3,0.7,25C_x_10K,20%,66.0
Weight,3,0.7,25C_x_10K,30%,70.0
Weight,3,0.7,25C_x_10K,40%,71.0
Weight,3,0.7,25C_x_10K,50%,70.0
Weight,3,0.7,25C_x_10K,60%,74.0
Weight,3,0.7,25C_x_10K,70%,81.11111111111111
Weight,3,0.7,25C_x_10K,80%,86.5
Weight,3,0.7,25C_x_10K,90%,92.27272727272728
Weight,3,0.8,25C_x_12K,10%,55.0
Weight,3,0.8,25C_x_12K,100%,100.0
Weight,3,0.8,25C_x_12K,20%,66.0
Weight,3,0.8,25C_x_12K,30%,70.0
Weight,3,0.8,25C_x_12K,40%,74.0
Weight,3,0.8,25C_x_12K,50%,71.66666666666666
Weight,3,0.8,25C_x_12K,60%,79.33333333333333
Weight,3,0.8,25C_x_12K,70%,82.22222222222223
Weight,3,0.8,25C_x_12K,80%,87.0
Weight,3,0.8,25C_x_12K,90%,91.81818181818181
Weight,3,0.9,25C_x_14K,10%,55.0
Weight,3,0.9,25C_x_14K,100%,100.0
Weight,3,0.9,25C_x_14K,20%,68.0
Weight,3,0.9,25C_x_14K,30%,75.0
Weight,3,0.9,25C_x_14K,40%,78.0
Weight,3,0.9,25C_x_14K,50%,72.5
Weight,3,0.9,25C_x_14K,60%,77.33333333333333
Weight,3,0.9,25C_x_14K,70%,83.33333333333334
Weight,3,0.9,25C_x_14K,80%,87.0
Weight,3,0.9,25C_x_14K,90%,93.63636363636364
Weight,3,1.0,25C_x_15K,10%,60.0
Weight,3,1.0,25C_x_15K,100%,100.0
Weight,3,1.0,25C_x_15K,20%,68.0
Weight,3,1.0,25C_x_15K,30%,75.0
Weight,3,1.0,25C_x_15K,40%,79.0
Weight,3,1.0,25C_x_15K,50%,76.66666666666666
Weight,3,1.0,25C_x_15K,60%,76.66666666666666
Weight,3,1.0,25C_x_15K,70%,85.0
Weight,3,1.0,25C_x_15K,80%,87.5
Weight,3,1.0,25C_x_15K,90%,93.63636363636364
Weight,4,0.1,25C_x_2K,10%,20.0
Weight,4,0.1,25C_x_2K,100%,100.0
Weight,4,0.1,25C_x_2K,20%,26.0
Weight,4,0.1,25C_x_2K,30%,33.75
Weight,4,0.1,25C_x_2K,40%,43.0
Weight,4,0.1,25C_x_2K,50%,45.0
Weight,4,0.1,25C_x_2K,60%,60.0
Weight,4,0.1,25C_x_2K,70%,72.22222222222221
Weight,4,0.1,25C_x_2K,80%,80.5
Weight,4,0.1,25C_x_2K,90%,88.63636363636364
Weight,4,0.2,25C_x_3K,10%,30.0
Weight,4,0.2,25C_x_3K,100%,100.0
Weight,4,0.2,25C_x_3K,20%,36.0
Weight,4,0.2,25C_x_3K,30%,45.0
Weight,4,0.2,25C_x_3K,40%,50.0
Weight,4,0.2,25C_x_3K,50%,52.5
Weight,4,0.2,25C_x_3K,60%,60.0
Weight,4,0.2,25C_x_3K,70%,74.44444444444444
Weight,4,0.2,25C_x_3K,80%,80.0
Weight,4,0.2,25C_x_3K,90%,88.18181818181817
Weight,4,0.3,25C_x_4K,10%,45.0
Weight,4,0.3,25C_x_4K,100%,100.0
Weight,4,0.3,25C_x_4K,20%,50.0
Weight,4,0.3,25C_x_4K,30%,52.5
Weight,4,0.3,25C_x_4K,40%,59.0
Weight,4,0.3,25C_x_4K,50%,60.0
Weight,4,0.3,25C_x_4K,60%,65.33333333333333
Weight,4,0.3,25C_x_4K,70%,75.55555555555556
Weight,4,0.3,25C_x_4K,80%,81.5
Weight,4,0.3,25C_x_4K,90%,88.18181818181817
Weight,4,0.4,25C_x_6K,10%,60.0
Weight,4,0.4,25C_x_6K,100%,100.0
Weight,4,0.4,25C_x_6K,20%,50.0
Weight,4,0.4,25C_x_6K,30%,58.75
Weight,4,0.4,25C_x_6K,40%,67.0
Weight,4,0.4,25C_x_6K,50%,67.5
Weight,4,0.4,25C_x_6K,60%,68.66666666666666
Weight,4,0.4,25C_x_6K,70%,78.33333333333334
Weight,4,0.4,25C_x_6K,80%,84.5
Weight,4,0.4,25C_x_6K,90%,90.45454545454545
Weight,4,0.5,25C_x_8K,10%,60.0
Weight,4,0.5,25C_x_8K,100%,100.0
Weight,4,0.5,25C_x_8K,20%,60.0
Weight,4,0.5,25C_x_8K,30%,62.5
Weight,4,0.5,25C_x_8K,40%,68.0
Weight,4,0.5,25C_x_8K,50%,67.5
Weight,4,0.5,25C_x_8K,60%,72.66666666666666
Weight,4,0.5,25C_x_8K,70%,80.55555555555557
Weight,4,0.5,25C_x_8K,80%,85.5
Weight,4,0.5,25C_x_8K,90%,90.45454545454545
Weight,4,0.6,25C_x_9K,10%,60.0
Weight,4,0.6,25C_x_9K,100%,100.0
Weight,4,0.6,25C_x_9K,20%,60.0
Weight,4,0.6,25C_x_9K,30%,65.0
Weight,4,0.6,25C_x_9K,40%,69.0
Weight,4,0.6,25C_x_9K,50%,70.83333333333333
Weight,4,0.6,25C_x_9K,60%,74.0
Weight,4,0.6,25C_x_9K,70%,80.0
Weight,4,0.6,25C_x_9K,80%,85.5
Weight,4,0.6,25C_x_9K,90%,91.81818181818181
Weight,4,0.7,25C_x_10K,10%,65.0
Weight,4,0.7,25C_x_10K,100%,100.0
Weight,4,0.7,25C_x_10K,20%,60.0
Weight,4,0.7,25C_x_10K,30%,62.5
Weight,4,0.7,25C_x_10K,40%,67.0
Weight,4,0.7,25C_x_10K,50%,68.33333333333333
Weight,4,0.7,25C_x_10K,60%,74.0
Weight,4,0.7,25C_x_10K,70%,80.0
Weight,4,0.7,25C_x_10K,80%,85.0
Weight,4,0.7,25C_x_10K,90%,91.36363636363636
Weight,4,0.8,25C_x_12K,10%,60.0
Weight,4,0.8,25C_x_12K,100%,100.0
Weight,4,0.8,25C_x_12K,20%,66.0
Weight,4,0.8,25C_x_12K,30%,70.0
Weight,4,0.8,25C_x_12K,40%,71.0
Weight,4,0.8,25C_x_12K,50%,70.0
Weight,4,0.8,25C_x_12K,60%,75.33333333333333
Weight,4,0.8,25C_x_12K,70%,81.66666666666666
Weight,4,0.8,25C_x_12K,80%,85.5
Weight,4,0.8,25C_x_12K,90%,91.81818181818181
Weight,4,0.9,25C_x_14K,10%,60.0
Weight,4,0.9,25C_x_14K,100%,100.0
Weight,4,0.9,25C_x_14K,20%,68.0
Weight,4,0.9,25C_x_14K,30%,73.75
Weight,4,0.9,25C_x_14K,40%,77.0
Weight,4,0.9,25C_x_14K,50%,74.16666666666667
Weight,4,0.9,25C_x_14K,60%,76.0
Weight,4,0.9,25C_x_14K,70%,83.33333333333334
Weight,4,0.9,25C_x_14K,80%,87.5
Weight,4,0.9,25C_x_14K,90%,93.18181818181817
Weight,4,1.0,25C_x_15K,10%,60.0
Weight,4,1.0,25C_x_15K,100%,100.0
Weight,4,1.0,25C_x_15K,20%,68.0
Weight,4,1.0,25C_x_15K,30%,75.0
Weight,4,1.0,25C_x_15K,40%,79.0
Weight,4,1.0,25C_x_15K,50%,76.66666666666666
Weight,4,1.0,25C_x_15K,60%,76.66666666666666
Weight,4,1.0,25C_x_15K,70%,85.0
Weight,4,1.0,25C_x_15K,80%,87.5
Weight,4,1.0,25C_x_15K,90%,93.63636363636364
Weight,5,0.1,25C_x_2K,10%,20.0
Weight,5,0.1,25C_x_2K,100%,100.0
Weight,5,0.1,25C_x_2K,20%,34.0
Weight,5,0.1,25C_x_2K,30%,40.0
Weight,5,0.1,25C_x_2K,40%,47.0
Weight,5,0.1,25C_x_2K,50%,55.0
Weight,5,0.1,25C_x_2K,60%,64.66666666666666
Weight,5,0.1,25C_x_2K,70%,73.33333333333333
Weight,5,0.1,25C_x_2K,80%,80.5
Weight,5,0.1,25C_x_2K,90%,89.0909090909091
Weight,5,0.2,25C_x_3K,10%,10.0
Weight,5,0.2,25C_x_3K,100%,100.0
Weight,5,0.2,25C_x_3K,20%,38.0
Weight,5,0.2,25C_x_3K,30%,47.5
Weight,5,0.2,25C_x_3K,40%,51.0
Weight,5,0.2,25C_x_3K,50%,54.166666666666664
Weight,5,0.2,25C_x_3K,60%,65.33333333333333
Weight,5,0.2,25C_x_3K,70%,73.88888888888889
Weight,5,0.2,25C_x_3K,80%,81.5
Weight,5,0.2,25C_x_3K,90%,90.0
Weight,5,0.3,25C_x_4K,10%,20.0
Weight,5,0.3,25C_x_4K,100%,100.0
Weight,5,0.3,25C_x_4K,20%,40.0
Weight,5,0.3,25C_x_4K,30%,43.75
Weight,5,0.3,25C_x_4K,40%,55.0
Weight,5,0.3,25C_x_4K,50%,57.5
Weight,5,0.3,25C_x_4K,60%,66.0
Weight,5,0.3,25C_x_4K,70%,73.88888888888889
Weight,5,0.3,25C_x_4K,80%,83.0
Weight,5,0.3,25C_x_4K,90%,89.0909090909091
Weight,5,0.4,25C_x_6K,10%,40.0
Weight,5,0.4,25C_x_6K,100%,100.0
Weight,5,0.4,25C_x_6K,20%,42.0
Weight,5,0.4,25C_x_6K,30%,56.25
Weight,5,0.4,25C_x_6K,40%,60.0
Weight,5,0.4,25C_x_6K,50%,62.5
Weight,5,0.4,25C_x_6K,60%,68.66666666666666
Weight,5,0.4,25C_x_6K,70%,75.0
Weight,5,0.4,25C_x_6K,80%,84.0
Weight,5,0.4,25C_x_6K,90%,90.0
Weight,5,0.5,25C_x_8K,10%,45.0
Weight,5,0.5,25C_x_8K,100%,100.0
Weight,5,0.5,25C_x_8K,20%,48.0
Weight,5,0.5,25C_x_8K,30%,58.75
Weight,5,0.5,25C_x_8K,40%,66.0
Weight,5,0.5,25C_x_8K,50%,67.5
Weight,5,0.5,25C_x_8K,60%,70.66666666666666
Weight,5,0.5,25C_x_8K,70%,78.33333333333334
Weight,5,0.5,25C_x_8K,80%,84.0
Weight,5,0.5,25C_x_8K,90%,89.54545454545453
Weight,5,0.6,25C_x_9K,10%,55.0
Weight,5,0.6,25C_x_9K,100%,100.0
Weight,5,0.6,25C_x_9K,20%,52.0
Weight,5,0.6,25C_x_9K,30%,60.0
Weight,5,0.6,25C_x_9K,40%,66.0
Weight,5,0.6,25C_x_9K,50%,69.16666666666666
Weight,5,0.6,25C_x_9K,60%,74.0
Weight,5,0.6,25C_x_9K,70%,81.66666666666667
Weight,5,0.6,25C_x_9K,80%,85.5
Weight,5,0.6,25C_x_9K,90%,90.45454545454545
Weight,5,0.7,25C_x_10K,10%,50.0
Weight,5,0.7,25C_x_10K,100%,100.0
Weight,5,0.7,25C_x_10K,20%,56.0
Weight,5,0.7,25C_x_10K,30%,66.25
Weight,5,0.7,25C_x_10K,40%,67.0
Weight,5,0.7,25C_x_10K,50%,72.5
Weight,5,0.7,25C_x_10K,60%,74.66666666666666
Weight,5,0.7,25C_x_10K,70%,82.22222222222223
Weight,5,0.7,25C_x_10K,80%,87.0
Weight,5,0.7,25C_x_10K,90%,90.9090909090909
Weight,5,0.8,25C_x_12K,10%,45.0
Weight,5,0.8,25C_x_12K,100%,100.0
Weight,5,0.8,25C_x_12K,20%,58.0
Weight,5,0.8,25C_x_12K,30%,66.25
Weight,5,0.8,25C_x_12K,40%,70.0
Weight,5,0.8,25C_x_12K,50%,70.83333333333333
Weight,5,0.8,25C_x_12K,60%,75.33333333333333
Weight,5,0.8,25C_x_12K,70%,81.66666666666666
Weight,5,0.8,25C_x_12K,80%,88.0
Weight,5,0.8,25C_x_12K,90%,93.18181818181817
Weight,5,0.9,25C_x_14K,10%,55.0
Weight,5,0.9,25C_x_14K,100%,100.0
Weight,5,0.9,25C_x_14K,20%,64.0
Weight,5,0.9,25C_x_14K,30%,73.75
Weight,5,0.9,25C_x_14K,40%,76.0
Weight,5,0.9,25C_x_14K,50%,72.5
Weight,5,0.9,25C_x_14K,60%,76.66666666666666
Weight,5,0.9,25C_x_14K,70%,83.33333333333334
Weight,5,0.9,25C_x_14K,80%,87.0
Weight,5,0.9,25C_x_14K,90%,92.72727272727272
Weight,5,1.0,25C_x_15K,10%,60.0
Weight,5,1.0,25C_x_15K,100%,100.0
Weight,5,1.0,25C_x_15K,20%,68.0
Weight,5,1.0,25C_x_15K,30%,75.0
Weight,5,1.0,25C_x_15K,40%,79.0
Weight,5,1.0,25C_x_15K,50%,76.66666666666666
Weight,5,1.0,25C_x_15K,60%,76.66666666666666
Weight,5,1.0,25C_x_15K,70%,85.0
Weight,5,1.0,25C_x_15K,80%,87.5
Weight,5,1.0,25C_x_15K,90%,93.63636363636364
Weight,6,0.1,25C_x_2K,10%,30.0
Weight,6,0.1,25C_x_2K,100%,100.0
Weight,6,0.1,25C_x_2K,20%,34.0
Weight,6,0.1,25C_x_2K,30%,37.5
Weight,6,0.1,25C_x_2K,40%,46.0
Weight,6,0.1,25C_x_2K,50%,53.333333333333336
Weight,6,0.1,25C_x_2K,60%,66.0
Weight,6,0.1,25C_x_2K,70%,76.66666666666666
Weight,6,0.1,25C_x_2K,80%,82.5
Weight,6,0.1,25C_x_2K,90%,88.18181818181817
Weight,6,0.2,25C_x_3K,10%,35.0
Weight,6,0.2,25C_x_3K,100%,100.0
Weight,6,0.2,25C_x_3K,20%,38.0
Weight,6,0.2,25C_x_3K,30%,42.5
Weight,6,0.2,25C_x_3K,40%,52.0
Weight,6,0.2,25C_x_3K,50%,55.833333333333336
Weight,6,0.2,25C_x_3K,60%,63.33333333333333
Weight,6,0.2,25C_x_3K,70%,76.66666666666666
Weight,6,0.2,25C_x_3K,80%,82.5
Weight,6,0.2,25C_x_3K,90%,88.63636363636364
Weight,6,0.3,25C_x_4K,10%,30.0
Weight,6,0.3,25C_x_4K,100%,100.0
Weight,6,0.3,25C_x_4K,20%,50.0
Weight,6,0.3,25C_x_4K,30%,53.75
Weight,6,0.3,25C_x_4K,40%,60.0
Weight,6,0.3,25C_x_4K,50%,60.0
Weight,6,0.3,25C_x_4K,60%,67.33333333333333
Weight,6,0.3,25C_x_4K,70%,76.66666666666667
Weight,6,0.3,25C_x_4K,80%,83.0
Weight,6,0.3,25C_x_4K,90%,90.0
Weight,6,0.4,25C_x_6K,10%,35.0
Weight,6,0.4,25C_x_6K,100%,100.0
Weight,6,0.4,25C_x_6K,20%,56.0
Weight,6,0.4,25C_x_6K,30%,56.25
Weight,6,0.4,25C_x_6K,40%,60.0
Weight,6,0.4,25C_x_6K,50%,64.16666666666666
Weight,6,0.4,25C_x_6K,60%,68.66666666666666
Weight,6,0.4,25C_x_6K,70%,77.77777777777779
Weight,6,0.4,25C_x_6K,80%,85.5
Weight,6,0.4,25C_x_6K,90%,88.63636363636364
Weight,6,0.5,25C_x_8K,10%,35.0
Weight,6,0.5,25C_x_8K,100%,100.0
Weight,6,0.5,25C_x_8K,20%,60.0
Weight,6,0.5,25C_x_8K,30%,61.25
Weight,6,0.5,25C_x_8K,40%,67.0
Weight,6,0.5,25C_x_8K,50%,66.66666666666666
Weight,6,0.5,25C_x_8K,60%,72.66666666666666
Weight,6,0.5,25C_x_8K,70%,78.88888888888889
Weight,6,0.5,25C_x_8K,80%,85.5
Weight,6,0.5,25C_x_8K,90%,90.9090909090909
Weight,6,0.6,25C_x_9K,10%,45.0
Weight,6,0.6,25C_x_9K,100%,100.0
Weight,6,0.6,25C_x_9K,20%,64.0
Weight,6,0.6,25C_x_9K,30%,67.5
Weight,6,0.6,25C_x_9K,40%,69.0
Weight,6,0.6,25C_x_9K,50%,70.0
Weight,6,0.6,25C_x_9K,60%,74.66666666666666
Weight,6,0.6,25C_x_9K,70%,79.44444444444444
Weight,6,0.6,25C_x_9K,80%,84.0
Weight,6,0.6,25C_x_9K,90%,90.45454545454545
Weight,6,0.7,25C_x_10K,10%,40.0
Weight,6,0.7,25C_x_10K,100%,100.0
Weight,6,0.7,25C_x_10K,20%,62.0
Weight,6,0.7,25C_x_10K,30%,68.75
Weight,6,0.7,25C_x_10K,40%,71.0
Weight,6,0.7,25C_x_10K,50%,70.0
Weight,6,0.7,25C_x_10K,60%,74.0
Weight,6,0.7,25C_x_10K,70%,80.0
Weight,6,0.7,25C_x_10K,80%,84.0
Weight,6,0.7,25C_x_10K,90%,90.9090909090909
Weight,6,0.8,25C_x_12K,10%,50.0
Weight,6,0.8,25C_x_12K,100%,100.0
Weight,6,0.8,25C_x_12K,20%,64.0
Weight,6,0.8,25C_x_12K,30%,75.0
Weight,6,0.8,25C_x_12K,40%,74.0
Weight,6,0.8,25C_x_12K,50%,73.33333333333333
Weight,6,0.8,25C_x_12K,60%,76.66666666666666
Weight,6,0.8,25C_x_12K,70%,82.77777777777779
Weight,6,0.8,25C_x_12K,80%,86.5
Weight,6,0.8,25C_x_12K,90%,91.36363636363636
Weight,6,0.9,25C_x_14K,10%,50.0
Weight,6,0.9,25C_x_14K,100%,100.0
Weight,6,0.9,25C_x_14K,20%,66.0
Weight,6,0.9,25C_x_14K,30%,73.75
Weight,6,0.9,25C_x_14K,40%,80.0
Weight,6,0.9,25C_x_14K,50%,74.16666666666666
Weight,6,0.9,25C_x_14K,60%,75.33333333333333
Weight,6,0.9,25C_x_14K,70%,84.44444444444444
Weight,6,0.9,25C_x_14K,80%,87.5
Weight,6,0.9,25C_x_14K,90%,93.18181818181817
Weight,6,1.0,25C_x_15K,10%,60.0
Weight,6,1.0,25C_x_15K,100%,100.0
Weight,6,1.0,25C_x_15K,20%,68.0
Weight,6,1.0,25C_x_15K,30%,75.0
Weight,6,1.0,25C_x_15K,40%,79.0
Weight,6,1.0,25C_x_15K,50%,76.66666666666666
Weight,6,1.0,25C_x_15K,60%,76.66666666666666
Weight,6,1.0,25C_x_15K,70%,85.0
Weight,6,1.0,25C_x_15K,80%,87.5
Weight,6,1.0,25C_x_15K,90%,93.63636363636364
Weight,7,0.1,25C_x_2K,10%,35.0
Weight,7,0.1,25C_x_2K,100%,100.0
Weight,7,0.1,25C_x_2K,20%,44.0
Weight,7,0.1,25C_x_2K,30%,46.25
Weight,7,0.1,25C_x_2K,40%,54.0
Weight,7,0.1,25C_x_2K,50%,56.666666666666664
Weight,7,0.1,25C_x_2K,60%,63.33333333333333
Weight,7,0.1,25C_x_2K,70%,72.77777777777777
Weight,7,0.1,25C_x_2K,80%,79.0
Weight,7,0.1,25C_x_2K,90%,87.72727272727272
Weight,7,0.2,25C_x_3K,10%,40.0
Weight,7,0.2,25C_x_3K,100%,100.0
Weight,7,0.2,25C_x_3K,20%,46.0
Weight,7,0.2,25C_x_3K,30%,48.75
Weight,7,0.2,25C_x_3K,40%,54.0
Weight,7,0.2,25C_x_3K,50%,56.666666666666664
Weight,7,0.2,25C_x_3K,60%,65.33333333333333
Weight,7,0.2,25C_x_3K,70%,72.77777777777777
Weight,7,0.2,25C_x_3K,80%,79.0
Weight,7,0.2,25C_x_3K,90%,87.27272727272728
Weight,7,0.3,25C_x_4K,10%,50.0
Weight,7,0.3,25C_x_4K,100%,100.0
Weight,7,0.3,25C_x_4K,20%,46.0
Weight,7,0.3,25C_x_4K,30%,52.5
Weight,7,0.3,25C_x_4K,40%,57.0
Weight,7,0.3,25C_x_4K,50%,59.166666666666664
Weight,7,0.3,25C_x_4K,60%,66.0
Weight,7,0.3,25C_x_4K,70%,73.33333333333333
Weight,7,0.3,25C_x_4K,80%,79.5
Weight,7,0.3,25C_x_4K,90%,87.72727272727272
Weight,7,0.4,25C_x_6K,10%,50.0
Weight,7,0.4,25C_x_6K,100%,100.0
Weight,7,0.4,25C_x_6K,20%,44.0
Weight,7,0.4,25C_x_6K,30%,55.0
Weight,7,0.4,25C_x_6K,40%,59.0
Weight,7,0.4,25C_x_6K,50%,59.166666666666664
Weight,7,0.4,25C_x_6K,60%,65.33333333333333
Weight,7,0.4,25C_x_6K,70%,76.66666666666667
Weight,7,0.4,25C_x_6K,80%,84.0
Weight,7,0.4,25C_x_6K,90%,89.54545454545453
Weight,7,0.5,25C_x_8K,10%,35.0
Weight,7,0.5,25C_x_8K,100%,100.0
Weight,7,0.5,25C_x_8K,20%,48.0
Weight,7,0.5,25C_x_8K,30%,60.0
Weight,7,0.5,25C_x_8K,40%,64.0
Weight,7,0.5,25C_x_8K,50%,65.83333333333334
Weight,7,0.5,25C_x_8K,60%,72.0
Weight,7,0.5,25C_x_8K,70%,78.33333333333334
Weight,7,0.5,25C_x_8K,80%,84.5
Weight,7,0.5,25C_x_8K,90%,91.36363636363636
Weight,7,0.6,25C_x_9K,10%,35.0
Weight,7,0.6,25C_x_9K,100%,100.0
Weight,7,0.6,25C_x_9K,20%,48.0
Weight,7,0.6,25C_x_9K,30%,61.25
Weight,7,0.6,25C_x_9K,40%,71.0
Weight,7,0.6,25C_x_9K,50%,66.66666666666666
Weight,7,0.6,25C_x_9K,60%,70.0
Weight,7,0.6,25C_x_9K,70%,78.33333333333334
Weight,7,0.6,25C_x_9K,80%,84.0
Weight,7,0.6,25C_x_9K,90%,90.45454545454545
Weight,7,0.7,25C_x_10K,10%,35.0
Weight,7,0.7,25C_x_10K,100%,100.0
Weight,7,0.7,25C_x_10K,20%,48.0
Weight,7,0.7,25C_x_10K,30%,61.25
Weight,7,0.7,25C_x_10K,40%,66.0
Weight,7,0.7,25C_x_10K,50%,68.33333333333333
Weight,7,0.7,25C_x_10K,60%,72.0
Weight,7,0.7,25C_x_10K,70%,81.11111111111111
Weight,7,0.7,25C_x_10K,80%,84.5
Weight,7,0.7,25C_x_10K,90%,90.45454545454545
Weight,7,0.8,25C_x_12K,10%,45.0
Weight,7,0.8,25C_x_12K,100%,100.0
Weight,7,0.8,25C_x_12K,20%,68.0
Weight,7,0.8,25C_x_12K,30%,68.75
Weight,7,0.8,25C_x_12K,40%,71.0
Weight,7,0.8,25C_x_12K,50%,71.66666666666666
Weight,7,0.8,25C_x_12K,60%,75.33333333333333
Weight,7,0.8,25C_x_12K,70%,82.77777777777779
Weight,7,0.8,25C_x_12K,80%,86.5
Weight,7,0.8,25C_x_12K,90%,92.27272727272728
Weight,7,0.9,25C_x_14K,10%,50.0
Weight,7,0.9,25C_x_14K,100%,100.0
Weight,7,0.9,25C_x_14K,20%,70.0
Weight,7,0.9,25C_x_14K,30%,76.25
Weight,7,0.9,25C_x_14K,40%,76.0
Weight,7,0.9,25C_x_14K,50%,75.0
Weight,7,0.9,25C_x_14K,60%,75.33333333333333
Weight,7,0.9,25C_x_14K,70%,82.22222222222221
Weight,7,0.9,25C_x_14K,80%,87.0
Weight,7,0.9,25C_x_14K,90%,94.0909090909091
Weight,7,1.0,25C_x_15K,10%,60.0
Weight,7,1.0,25C_x_15K,100%,100.0
Weight,7,1.0,25C_x_15K,20%,68.0
Weight,7,1.0,25C_x_15K,30%,75.0
Weight,7,1.0,25C_x_15K,40%,79.0
Weight,7,1.0,25C_x_15K,50%,76.66666666666666
Weight,7,1.0,25C_x_15K,60%,76.66666666666666
Weight,7,1.0,25C_x_15K,70%,85.0
Weight,7,1.0,25C_x_15K,80%,87.5
Weight,7,1.0,25C_x_15K,90%,93.63636363636364
Weight,8,0.1,25C_x_2K,10%,20.0
Weight,8,0.1,25C_x_2K,100%,100.0
Weight,8,0.1,25C_x_2K,20%,30.0
Weight,8,0.1,25C_x_2K,30%,38.75
Weight,8,0.1,25C_x_2K,40%,46.0
Weight,8,0.1,25C_x_2K,50%,49.16666666666667
Weight,8,0.1,25C_x_2K,60%,62.666666666666664
Weight,8,0.1,25C_x_2K,70%,74.44444444444444
Weight,8,0.1,25C_x_2K,80%,82.0
Weight,8,0.1,25C_x_2K,90%,87.72727272727272
Weight,8,0.2,25C_x_3K,10%,15.0
Weight,8,0.2,25C_x_3K,100%,100.0
Weight,8,0.2,25C_x_3K,20%,34.0
Weight,8,0.2,25C_x_3K,30%,42.5
Weight,8,0.2,25C_x_3K,40%,53.0
Weight,8,0.2,25C_x_3K,50%,54.166666666666664
Weight,8,0.2,25C_x_3K,60%,62.0
Weight,8,0.2,25C_x_3K,70%,72.22222222222221
Weight,8,0.2,25C_x_3K,80%,80.5
Weight,8,0.2,25C_x_3K,90%,89.54545454545453
Weight,8,0.3,25C_x_4K,10%,20.0
Weight,8,0.3,25C_x_4K,100%,100.0
Weight,8,0.3,25C_x_4K,20%,32.0
Weight,8,0.3,25C_x_4K,30%,48.75
Weight,8,0.3,25C_x_4K,40%,55.0
Weight,8,0.3,25C_x_4K,50%,54.16666666666667
Weight,8,0.3,25C_x_4K,60%,63.33333333333333
Weight,8,0.3,25C_x_4K,70%,73.88888888888889
Weight,8,0.3,25C_x_4K,80%,81.0
Weight,8,0.3,25C_x_4K,90%,88.63636363636364
Weight,8,0.4,25C_x_6K,10%,50.0
Weight,8,0.4,25C_x_6K,100%,100.0
Weight,8,0.4,25C_x_6K,20%,46.0
Weight,8,0.4,25C_x_6K,30%,51.25
Weight,8,0.4,25C_x_6K,40%,60.0
Weight,8,0.4,25C_x_6K,50%,64.16666666666666
Weight,8,0.4,25C_x_6K,60%,70.66666666666666
Weight,8,0.4,25C_x_6K,70%,77.22222222222223
Weight,8,0.4,25C_x_6K,80%,83.5
Weight,8,0.4,25C_x_6K,90%,88.63636363636364
Weight,8,0.5,25C_x_8K,10%,50.0
Weight,8,0.5,25C_x_8K,100%,100.0
Weight,8,0.5,25C_x_8K,20%,48.0
Weight,8,0.5,25C_x_8K,30%,56.25
Weight,8,0.5,25C_x_8K,40%,65.0
Weight,8,0.5,25C_x_8K,50%,65.83333333333333
Weight,8,0.5,25C_x_8K,60%,70.66666666666666
Weight,8,0.5,25C_x_8K,70%,80.0
Weight,8,0.5,25C_x_8K,80%,85.0
Weight,8,0.5,25C_x_8K,90%,90.45454545454545
Weight,8,0.6,25C_x_9K,10%,50.0
Weight,8,0.6,25C_x_9K,100%,100.0
Weight,8,0.6,25C_x_9K,20%,58.0
Weight,8,0.6,25C_x_9K,30%,62.5
Weight,8,0.6,25C_x_9K,40%,70.0
Weight,8,0.6,25C_x_9K,50%,68.33333333333334
Weight,8,0.6,25C_x_9K,60%,72.66666666666666
Weight,8,0.6,25C_x_9K,70%,79.44444444444444
Weight,8,0.6,25C_x_9K,80%,86.5
Weight,8,0.6,25C_x_9K,90%,91.81818181818181
Weight,8,0.7,25C_x_10K,10%,60.0
Weight,8,0.7,25C_x_10K,100%,100.0
Weight,8,0.7,25C_x_10K,20%,62.0
Weight,8,0.7,25C_x_10K,30%,68.75
Weight,8,0.7,25C_x_10K,40%,71.0
Weight,8,0.7,25C_x_10K,50%,72.5
Weight,8,0.7,25C_x_10K,60%,74.66666666666666
Weight,8,0.7,25C_x_10K,70%,80.55555555555557
Weight,8,0.7,25C_x_10K,80%,87.0
Weight,8,0.7,25C_x_10K,90%,93.18181818181817
